filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,EL10,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,ER10,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,first_frame_0_ILD,save
bbn,-8,63.13994826748013,68.30590944265522,66.39165932255078,66.75616155754975,68.48036438135624,67.26472210847665,66.57808732733932,65.35418336664277,67.9944958593482,65.80469715405741,65.55046744493659,63.13994826748013,59.20085713081266,58.43819213839336,61.56689975812667,57.9181957599995,57.78863008614476,57.45401585022942,57.43223767144431,58.48614865982443,59.137082858334196,59.19129298764525,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbo,-8,64.45674723380723,66.16351711247424,66.13596300344285,66.39272447410357,66.80755394067606,66.89245109115899,67.97804216590227,67.23207117028011,66.57501717898843,67.04395216659843,67.11915017003129,64.45674723380723,60.01738086808837,60.40850319095653,59.55802491358377,60.344324232024725,60.296613809026894,58.70719435129361,58.9349138491837,57.78723528000936,59.677032152950545,58.31516720951986,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbp,-8,63.09747656591563,65.32779738999781,66.72840440813091,67.64429502068333,65.24172184517695,68.4549857991066,67.11172630278571,67.00635560738729,66.9529595357525,65.85660437728822,67.98715264070876,63.09747656591563,58.798144545854036,58.16827389038895,60.1514470024665,58.137874435991776,58.87501224231695,59.41456988923633,58.40237899006109,58.43575752708127,60.229655213561564,59.44516398066144,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbq,-8,61.026270739061985,67.852185429114,68.36512662813594,64.96863870454439,66.00056581219702,66.81400181046368,67.16826355323657,66.80497578518187,68.5270167406789,67.20562235638745,66.94939260938013,61.026270739061985,56.05991533781604,59.70392667673567,58.727629141105616,59.718902473183526,58.32133779704496,60.31178842226563,58.99873803623866,60.01454016151709,58.9811411994498,60.96900947460405,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbr,-8,62.15186105270318,66.13383308948858,69.78828223954467,68.56990648913273,66.8934102546178,66.69215751279641,67.27425804277271,68.57200447128994,66.57166240110031,67.44444818595801,68.307035350186,62.15186105270318,58.43865535661428,56.32845584826828,60.35666887335384,57.56878807780394,60.021677688386696,59.01955704324179,57.94449728790981,59.03313347837592,58.12328190543797,57.47591755683009,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbs,-8,63.14051808365434,68.59536599701161,65.68769677346786,68.01862204599313,65.68295976094319,66.33630189108315,67.67060631940359,67.33326452919539,66.92302502386224,64.82378711362269,67.7205251919869,63.14051808365434,60.06642571543479,59.46258819093894,60.47384638948255,58.66278202729115,59.365003345597614,57.35256385194248,59.51448720577458,59.222176694519625,60.883929261588655,59.12403560903595,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbt,-8,63.270300047726536,67.85876327423121,68.0243046767007,68.01746426203901,65.12127709517127,67.44954279748072,67.23765752260161,67.57376865641383,67.26308448319735,66.53696332770598,66.94726125057174,63.270300047726536,58.27945668838,59.0639461950904,59.79527237914165,60.24730717091555,59.08225902013376,60.12299696398247,60.04118107960041,57.617741437761275,57.42946656718374,56.667887806519964,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbu,-8,64.16205626635539,67.37288919682007,68.36855778005685,66.98237978217273,67.00406278760394,67.44421913127294,68.25835099309931,64.95469738593594,65.8103147946957,67.5325664356466,67.52866173951712,64.16205626635539,58.431437246049946,58.16203402147076,58.66071349199361,59.73189002918988,57.69927228668403,60.785770024532916,58.57858513113682,59.774592631835404,57.99522048523591,59.20343134139365,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbv,-8,62.133605584514534,67.00352720281069,68.76192870605706,67.92962725338111,68.45396150904457,67.78010580906636,67.12313817021406,67.23093523684453,66.74068334316776,66.36700222310651,67.83030134004522,62.133605584514534,58.78481654012626,57.926289883841754,60.0268304878694,59.61377926834382,60.1640565976132,58.828168864198744,59.5257343731938,60.171522936618146,59.41324450405506,58.36289473637612,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
bbw,-8,62.01832760801591,66.71221610599434,67.72888213965778,67.06842212252711,66.1820689884573,67.5928689742282,67.23599030146501,67.77982678342055,66.4761375191878,67.21928576137019,66.64645367841914,62.01832760801591,58.73811560423814,58.66800297817519,59.45379230888673,57.8887549775408,59.59750489066976,58.06401190361245,58.52844705819093,59.413028449413424,58.70044772268513,56.81630344607106,70,44100,"[2000, 20000]",1,1,10000,True,11,1,True,True
