filename,ILD,EL0,EL1,EL2,EL3,EL4,EL5,EL6,EL7,EL8,EL9,ER0,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,max_vol,fs,cutoff,amp,dur,fn,normalize,n_frames,sigma,save
bbn,-8,66.47106152038877,68.12965940440111,66.66772377735566,68.8653243917161,67.27286564970767,66.89341959141657,67.72545411929117,66.23058382463017,67.12668971703097,69.1761326295524,58.36709277495035,59.957115214625084,58.63966617607149,60.57717779178146,60.66883238774864,59.60259522336105,58.30487657542334,59.71704718598707,58.28949213389237,59.95934631929733,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbo,-8,69.71563008535414,67.37041916019892,65.58538295199453,67.2596472419352,67.87127756434629,67.98474441305211,66.98844876660414,65.03071697576341,66.46784822450516,65.48044177623812,58.61347039672846,59.69458228787476,58.38723906911305,58.682866545752816,58.26651241668897,59.41547737694124,57.077183048020174,59.36118911813882,59.685307675269144,58.75863755712317,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbp,-8,65.34921740881927,67.80148700017268,68.7279895329549,68.91909944983406,66.8751040264627,65.57193124396,65.89431226934259,67.05726304157955,65.79115109382768,67.9908331941111,59.598026922476315,60.09970043665927,61.26908098190706,60.10041368027846,58.62006840630878,58.73067524021754,59.25603769740346,58.91975233508233,58.40850570332238,57.895478992676615,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbq,-8,65.16745333662871,67.38894908671779,66.54823479261708,67.48065098745823,67.16462493975696,67.02804528690443,69.42703052570786,68.23171909724455,68.27131415951027,66.83158048690171,58.57445831224155,58.573761565877916,56.51686736081645,59.801702059697256,59.41110075428489,58.046370396844445,59.95832251459407,59.86079344808231,59.09007784240216,58.86388318995337,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbr,-8,67.18173499000304,66.93262621035413,67.50088295275143,66.91413766037788,66.64039247952361,65.92036889814602,66.52867288428286,69.09923853226327,66.2522280150659,67.39605742349981,59.0414294022796,57.720344372403964,59.25001484510482,58.37741182353072,58.440054285124745,60.70619745529954,58.50925994745339,58.650421979737864,59.30597476191399,58.82509189341557,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbs,-8,67.32105417866474,66.8659161193189,67.30112211837393,68.32788067376822,67.42256420628729,66.62814678531646,67.87860418368696,66.22710933964815,65.46399979630118,68.97031699559473,58.56122148218302,58.733796685024004,60.018757158408924,57.98762246293566,58.08823833215355,58.890658390954464,60.66539874212059,60.545747359717105,59.0474767296534,57.32593002532928,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbt,-8,67.24573442398342,68.07966853985357,65.97509999716941,66.52886064936753,68.32039931016416,66.25772896337958,68.73108744919853,67.76213692611452,67.704224785621,66.13557956961782,58.58789518667661,58.57844290325214,59.66416577616215,59.84415315087646,58.66830090213444,58.66592440488091,59.075722548662135,60.888923185018854,58.88104516110204,58.67550728179642,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbu,-8,66.19344548652775,65.48095641601098,67.93543324020557,68.50566216732777,65.73789395774457,65.86650340409297,67.97811248437462,66.87185251738288,68.85006195209925,66.57029284729138,58.94883902950491,58.86971154439942,58.21088450583801,58.252552302602545,57.345346683694814,58.97479318803573,59.4487520083057,57.78502586691598,57.04579129716413,58.74395488237471,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbv,-8,65.95136699917717,67.67438519946106,65.80291265442806,66.9271864125058,67.64842780528465,65.22851425378344,65.8392450495179,67.48568419448483,67.36788605224221,67.6736862043783,59.353086098667845,60.04005918178696,58.312686529054574,59.77776795857897,58.8980928107364,60.210848021059256,58.06254282383523,60.87803324716745,59.42364104686351,57.651461104764365,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbw,-8,65.7946427407563,68.06320690024269,69.01161114635424,65.34319683904401,67.4262976710084,67.8370169266667,67.5666444287006,68.42693380255132,66.23871152777686,67.32117700467691,58.61923118734629,57.9094104259872,60.21376572498831,58.98828374205548,58.7111015902171,58.40549674861855,59.27285105263886,58.60312963098488,58.24220656416042,58.91077569540289,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbx,-8,65.97653407355445,69.12114575317139,66.64410445998307,67.2194428716737,66.46559064107596,67.46467417651641,66.95664332176598,65.5926384010161,67.58641681285177,67.9374580812683,59.109008451634494,58.73934319602463,57.35866284755254,59.281184324189574,58.62318463871882,57.51725874130764,58.68454682082926,59.37112558691615,58.445019961576556,57.41591774150712,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bby,-8,65.51094598018388,66.57140586332805,67.70770758517963,66.14885952804794,66.3595630365543,67.63639626568596,68.03055585712924,67.13541576039952,66.56603418766002,67.49736388521889,58.930073962046514,59.457848531016126,58.87348829006683,58.40653484081611,59.14102862792023,59.736641686241505,59.05134641951002,57.866851458851976,57.80861644850912,59.3570246119708,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bbz,-8,67.7035526443679,66.23091522965689,65.36658380059893,67.67248492520629,65.57835507298454,65.94962148795565,65.30661277311071,67.19685433170802,66.53205867068282,67.69836743116387,59.57253306077471,58.65462559769217,58.3128524953151,58.24236608769494,59.005010289133494,59.49688419466808,58.33093992631322,59.10953251245426,61.668607353368934,58.378080907899545,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
bca,-8,68.52409537725647,66.64709541707941,67.66154870397654,66.47285059239556,68.3877334219844,66.4574108155642,66.58081939370065,66.34178384910145,67.7408238153588,68.15292562456591,59.01380113216678,58.08274865150498,59.012450390912456,59.446139236996075,58.14779176766607,60.57041495242158,58.89590200179265,59.39764048130057,58.81583449738928,59.43691660966007,70,44100,"[2000, 20000]",1,1,10000,True,10,1,True
